number_of_occurence, full_citation
101,Mhvs.5
95,Pv-a.4
83,DN.i.7
83,Pv-a.74
81,Pv-a.13
80,Pv-a.5
74,Pv-a.55
73,Pv-a.47
73,Dhs.1059
73,Pv-a.3
71,Mhvs.10
71,Pv-a.78
70,Pv-a.46
69,Pp.55
69,Pv-a.67
67,Ja.i.279
66,Ja.i.50
66,Pv-a.75
65,Pv-a.20
65,Mil.331
64,Ja.i.61
64,Pv-a.73
63,Mhvs.25
63,Pv-a.63
62,DN.i.9
62,Ja.i.222
62,Pv-a.54
61,Pv-a.43
60,Pv-a.6
59,Mhvs.15
58,DN.i.166
58,Pv-a.76
58,Pv-a.60
58,Pv-a.42
58,Vin.i.10
58,Pv-a.77
58,Pv-a.29
57,Pv-a.39
57,Mhvs.30
57,Pv-a.16
57,Pv-a.62
57,Ja.ii.159
56,Pv-a.61
56,Pv-a.19
56,Pv-a.12
55,DN.i.5
55,Pp.56
55,DN.i.4
54,DN.i.6
53,Mil.21
52,Mhvs.35
52,Pv-a.8
52,Ja.i.59
52,Pv-a.38
51,Pp.19
51,Pv-a.68
51,Pv-a.7
51,Ja.i.150
50,Mhvs.19
50,Vin.i.15
50,AN.ii.209
50,SN.i.169
50,Pv-a.152
50,Pv-a.22
49,Ja.i.62
49,Ja.i.262
49,DN.i.12
49,Mhvs.37
49,DN.i.71
48,Pv-a.198
48,Pv-a.80
48,Ja.i.253
48,Pv-a.52
48,Pv-a.14
47,DN.i.51
47,Pv-a.56
47,Pp.58
47,Pv-a.107
47,Pv-a.71
47,Mil.10
47,Pv-a.25
47,Pp.51
46,Ja.vi.538
46,Pp.57
46,Ja.i.207
46,Ja.iii.26
46,Vin.i.16
46,Pv-a.103
46,Pv-a.87
46,Ja.i.146
45,Ja.i.223
45,Pv-a.50
45,Mhvs.36
45,Pv-a.154
45,Vin.i.46
45,Pv-a.27
45,Pv-a.86
45,Pv-a.66
45,Pv-a.81
45,Pv-a.31
45,Vin.i.5
45,Pv-a.135
44,Ja.i.9
44,AN.ii.206
44,Mhvs.4
44,Pv-a.1
44,Pv-a.113
43,MN.i.429
43,Mhvs.7
43,Ja.i.290
43,DN.i.167
43,Mhvs.1
43,Ja.i.202
43,DN.i.135
43,DN.i.110
42,DN.i.88
42,AN.i.295
42,Ja.i.52
42,DN.i.76
42,Ja.v.416
42,Pv-a.112
42,Pv-a.141
42,Ja.i.266
42,Pp.21
41,Pv-a.123
41,Ja.ii.154
41,Ja.i.265
41,Pv-a.18
41,Pp.25
41,SN.i.33
41,Vin.ii.208
41,Ja.iii.52
40,Pv-a.10
40,Iti.89
40,Ja.ii.153
40,Pv-a.17
40,Pv-a.116
40,Mhvs.33
40,Pp.68
40,DN.i.54
40,Vv-a.6
40,Pv-a.40
40,AN.i.138
39,DN.i.115
39,Mhvs.32
39,Mhvs.23
39,Vv-a.72
39,Mhvs.29
39,Vin.i.201
39,DN.iii.252
39,Pv-a.104
39,DN.i.74
39,Ja.vi.537
38,Vin.ii.148
38,Pv-a.33
38,Ja.v.215
38,Ja.iii.188
38,Pv-a.30
38,SN.iii.93
38,Ja.i.89
38,Ja.i.203
38,Pp.20
38,DN.iii.269
38,Pv-a.53
38,DN.i.11
37,Pv-a.161
37,DN.i.89
37,Pv-a.9
37,Pv-a.41
37,Pv-a.189
37,Pp.23
37,Ja.i.151
37,Pv-a.58
37,Mil.357
37,Vv-a.68
37,Pv-a.11
37,Pv-a.26
37,Ja.v.405
36,Ja.i.58
36,Pv-a.157
36,Mhvs.34
36,Ja.v.420
36,Ja.i.152
36,Pv-a.49
36,Pv-a.23
36,Mhvs.6
36,Mil.18
35,Dhs.617
35,Pv-a.230
35,Ja.ii.102
35,Mhvs.3
35,DN.i.70
35,Pp.59
35,Pv-a.127
35,Ja.iv.3
35,DN.i.53
35,Pv-a.132
35,Pp.13
35,DN.iii.282
35,MN.i.78
35,Pv-a.51
34,Pv-a.120
34,Vin.ii.10
34,Mhvs.22
34,Mhvs.28
34,Mhvs.12
34,Mil.267
34,Ja.ii.128
34,SN.i.141
34,DN.iii.230
34,Pv-a.2
34,DN.i.17
34,Vin.ii.116
34,Pv-a.117
34,Vin.i.8
34,Pv-a.175
34,MN.i.85
34,Mhvs.18
33,Mil.3
33,DN.i.34
33,Mhvs.11
33,Vin.ii.110
33,MN.i.79
33,Pp.22
33,Vin.i.203
33,Mhvs.14
33,Pv-a.32
33,Ja.ii.104
33,SN.i.136
33,Pv-a.130
33,Pv-a.139
33,Ja.ii.160
33,Ja.i.278
33,DN.i.106
33,Pv-a.35
33,Vin.i.47
33,Vv-a.73
33,Ja.ii.110
33,Mhvs.17
32,Mil.2
32,Vin.ii.120
32,Ja.iv.137
32,Mhvs.27
32,Vin.i.205
32,Vv-a.71
32,Pv-a.145
32,Vin.ii.195
32,DN.i.245
32,Vin.i.58
32,Pv-a.151
32,Pv-a.64
32,Pv-a.102
32,DN.i.104
32,Ja.i.167
32,Ja.iv.2
32,Vv-a.12
32,Vin.i.3
32,Pv-a.98
32,Vin.ii.152
31,AN.ii.207
31,MN.i.487
31,Ja.iii.55
31,Mil.148
31,Mil.229
31,Mil.23
31,Thag.2
31,DN.i.63
31,DN.iii.213
31,Ja.i.138
31,Pv-a.93
31,DN.i.90
31,Mil.1
31,DN.i.55
31,Ne.28
31,Pv-a.21
31,Mil.344
31,Ja.i.149
31,Mhvs.9
30,DN.i.8
30,DN.i.60
30,DN.i.91
30,DN.ii.12
30,MN.i.446
30,Pv-a.82
30,Ja.ii.352
30,Pv-a.45
30,Pv-a.97
30,Pv-a.114
30,Ja.i.255
30,Ja.i.264
30,Pv-a.15
30,Mil.191
30,Pp.18
30,DN.iii.216
30,DN.ii.157
30,AN.iii.76
30,Pv-a.137
30,Pv-a.153
30,Pv-a.274
30,Vin.ii.214
30,SN.i.100
30,Vin.ii.117
30,Ja.v.37
29,Vin.i.206
29,Ja.i.7
29,Vin.i.25
29,Ja.i.51
29,Vv-a.161
29,Ja.i.8
29,Pp.60
29,DN-a.i.95
29,Vin.ii.106
